"filename", "language", "JSON", "XML", "PHP", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ActivityCourse\AnswersCourseController.php", "PHP", 0, 0, 40, 0, 0, 0, 1, 12, 53
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ClassCourse\ClassCourseController.php", "PHP", 0, 0, 120, 0, 0, 0, 12, 24, 156
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\CourseController.php", "PHP", 0, 0, 147, 0, 0, 0, 15, 41, 203
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Email\SendEmailController.php", "PHP", 0, 0, 6, 0, 0, 0, 1, 6, 13
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Enrollment\EnrollmentController.php", "PHP", 0, 0, 29, 0, 0, 0, 1, 11, 41
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\StudyPlan\StudyPlanController.php", "PHP", 0, 0, 56, 0, 0, 0, 1, 12, 69
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\ActionCurriculumController.php", "PHP", 0, 0, 42, 0, 0, 0, 2, 19, 63
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\CurriculumController.php", "PHP", 0, 0, 63, 0, 0, 0, 18, 19, 100
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\DashboardTeacherController.php", "PHP", 0, 0, 30, 0, 0, 0, 1, 10, 41
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Vacancy\VacancyController.php", "PHP", 0, 0, 121, 0, 0, 0, 12, 37, 170
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Controller.php", "PHP", 0, 0, 5, 0, 0, 0, 1, 3, 9
